pad,well,event_type,timestamp,pad_pg_value
P121,106W15,106W15 start,2025-08-02 23:01:00,116.57130432128906
P121,106W15,106W15 trip,2025-08-04 00:07:00,0.035774506628513336
P121,106W15,106W15 start,2025-08-04 16:25:00,-0.11157041788101196
P121,106W15,106W15 +3.61 hz,2025-08-04 18:25:00,129.69357299804688
P121,106W15,106W15 NFE,2025-08-04 23:43:00,115.1479263305664
P121,106W15,106W15 trip,2025-08-05 08:55:00,124.61949157714844
P121,106W15,106W15 start,2025-08-08 06:49:00,132.70628356933594
P121,106W15,106W15 trip,2025-08-08 08:01:00,-0.10298721492290497
P121,106W15,106W15 +2.28 hz,2025-08-08 08:01:00,-0.10298721492290497
P121,106W16,106W16 +2.16 hz,2025-07-27 17:49:00,131.04258728027344
P121,106W16,106W16 +2.1 hz,2025-07-28 05:49:00,165.95140075683594
P121,106W16,106W16 +2.12 hz,2025-07-28 17:55:00,128.9210968017578
P121,106W16,106W16 +2.26 hz,2025-07-28 19:31:00,127.61932373046875
P121,106W16,106W16 +2.48 hz,2025-07-30 05:07:00,-0.07437655329704285
P121,106W16,106W16 +2.14 hz,2025-07-30 07:31:00,112.3111801147461
P121,106W16,106W16 +2.05 hz,2025-07-30 15:55:00,124.46498107910156
P121,106W16,106W16 +2.59 hz,2025-07-30 16:25:00,-0.07580708712339401
P121,106W16,106W16 +2.06 hz,2025-07-31 03:25:00,153.35891723632812
P121,106W16,106W16 +2.0 hz,2025-07-31 08:25:00,145.05178833007812
P121,106W16,106W16 +2.0 hz,2025-07-31 13:43:00,235.46006774902344
P121,106W16,106W16 +2.36 hz,2025-07-31 14:07:00,5.463217258453369
P121,106W16,106W16 +2.0 hz,2025-07-31 16:13:00,180.0111541748047
P121,106W16,106W16 +2.34 hz,2025-08-02 04:31:00,155.47036743164062
P121,106W16,106W16 +2.27 hz,2025-08-03 15:07:00,135.8434600830078
P121,106W16,106W16 +2.08 hz,2025-08-03 18:01:00,122.81844329833984
P121,106W16,106W16 +2.06 hz,2025-08-03 22:07:00,184.57598876953125
P121,106W16,106W16 +15.19 hz,2025-08-04 01:01:00,0.03434397652745247
P121,106W16,106W16 +2.66 hz,2025-08-04 01:37:00,0.061524104326963425
P121,106W16,106W16 +8.73 hz,2025-08-04 02:55:00,0.03434397652745247
P121,106W16,106W16 +19.94 hz,2025-08-04 04:13:00,-0.07294601947069168
P121,106W16,106W16 +14.54 hz,2025-08-04 04:49:00,-0.052918557077646255
P121,106W16,106W16 +2.06 hz,2025-08-06 23:55:00,140.18511962890625
P121,106W16,106W16 +2.03 hz,2025-08-07 20:31:00,-0.1015566810965538
P121,106W2,106W2 trip,2025-08-04 00:07:00,0.035774506628513336
P121,106W2,106W2 start,2025-08-04 11:19:00,130.2915496826172
P121,106W2,106W2 NFE,2025-08-04 16:13:00,117.82874298095703
P121,106W2,106W2 trip,2025-08-05 08:07:00,118.4095458984375
P121,106W2,106W2 start,2025-08-05 11:37:00,120.87005615234375
P121,106W3,106W3 trip,2025-08-03 23:55:00,-0.18309707939624786
P121,106W3,106W3 start,2025-08-04 00:07:00,0.035774506628513336
P121,106W3,106W3 trip,2025-08-04 00:37:00,-0.07437655329704285
P121,106W3,106W3 start,2025-08-04 12:49:00,-0.06865441799163818
P121,106W3,106W3 NFE,2025-08-08 03:01:00,130.77078247070312
P121,106W3,106W3 trip,2025-08-08 08:01:00,-0.10298721492290497
P121,106W3,106W3 start,2025-08-09 17:07:00,137.35122680664062
P121,106W4,106W4 trip,2025-07-30 05:25:00,143.96029663085938
P121,106W4,106W4 start,2025-07-31 14:13:00,175.81112670898438
P121,106W4,106W4 trip,2025-07-31 19:55:00,128.400390625
P121,106W4,106W4 start,2025-08-02 02:01:00,162.2324981689453
P121,106W4,106W4 trip,2025-08-02 02:07:00,185.84201049804688
P121,106W4,106W4 start,2025-08-02 02:37:00,200.6137237548828
P121,106W4,106W4 NFE,2025-08-02 04:25:00,114.64295196533203
P121,106W4,106W4 trip,2025-08-02 10:01:00,172.91429138183594
P121,106W4,106W4 start,2025-08-03 02:19:00,121.93724060058594
P121,106W4,106W4 trip,2025-08-03 09:43:00,144.25784301757812
P121,106W5,106W5 NFE,2025-08-01 19:19:00,5.656339645385742
P121,106W5,106W5 start,2025-08-05 04:01:00,106.1727523803711
P121,106W5,106W5 trip,2025-08-05 08:01:00,117.48970794677734
P121,106W5,106W5 start,2025-08-10 00:25:00,-0.1015566810965538
P121,106W5,106W5 NFE,2025-08-10 00:43:00,121.58247375488281
P121,106W6,106W6 +14.34 hz,2025-08-04 01:01:00,0.03434397652745247
P121,106W6,106W6 +2.14 hz,2025-08-04 01:37:00,0.061524104326963425
P121,106W6,106W6 +7.59 hz,2025-08-04 02:55:00,0.03434397652745247
P121,106W6,106W6 +18.07 hz,2025-08-04 04:13:00,-0.07294601947069168
P121,106W6,106W6 +11.52 hz,2025-08-04 04:43:00,-0.10298721492290497
P121,106W6,106W6 NFE,2025-08-04 02:49:00,-0.1015566810965538
P121,106W6,106W6 +11.86 hz,2025-08-04 14:37:00,128.85243225097656
P121,106W7,106W7 trip,2025-07-29 20:19:00,-0.23745734989643097
P121,106W7,106W7 start,2025-07-29 23:55:00,103.400390625
P121,106W7,106W7 +9.57 hz,2025-08-04 01:01:00,0.03434397652745247
P121,106W7,106W7 +14.1 hz,2025-08-04 01:37:00,0.061524104326963425
P121,106W7,106W7 NFE,2025-08-03 22:37:00,-0.10298721492290497
P121,106W7,106W7 +2.46 hz,2025-08-04 02:55:00,0.03434397652745247
P121,106W7,106W7 +13.99 hz,2025-08-04 04:13:00,-0.07294601947069168
P121,106W7,106W7 +6.16 hz,2025-08-04 04:43:00,-0.10298721492290497
P121,106W8,106W8 NFE,2025-07-27 08:49:00,129.6387481689453
P121,106W8,106W8 NFE,2025-07-29 07:49:00,216.5641326904297
P121,106W8,106W8 NFE,2025-07-31 10:31:00,125.48495483398438
P121,106W8,106W8 NFE,2025-08-02 09:37:00,120.89724731445312
P121,106W8,106W8 trip,2025-08-03 23:55:00,-0.18309707939624786
P121,106W8,106W8 start,2025-08-04 00:07:00,0.035774506628513336
P121,106W8,106W8 start,2025-08-04 00:43:00,-0.07437655329704285
P121,106W8,106W8 +21.41 hz,2025-08-04 01:01:00,0.03434397652745247
P121,106W8,106W8 +12.39 hz,2025-08-04 01:37:00,0.061524104326963425
P121,106W8,106W8 start,2025-08-04 02:13:00,-0.07437655329704285
P121,106W8,106W8 trip,2025-08-04 02:43:00,-0.10298721492290497
P121,106W8,106W8 start,2025-08-04 11:19:00,130.2915496826172
P121,106W8,106W8 NFE,2025-08-05 00:13:00,118.99749755859375
P121,106W8,106W8 NFE,2025-08-07 03:31:00,155.30442810058594
P121,106W8,106W8 NFE,2025-08-09 01:07:00,135.85061645507812
P121,106W9,106W9 NFE,2025-07-27 06:43:00,157.37440490722656
P121,106W9,106W9 NFE,2025-07-29 09:43:00,97.87328338623047
P121,106W9,106W9 NFE,2025-07-31 11:25:00,142.14207458496094
P121,106W9,106W9 trip,2025-08-01 22:31:00,-0.07437655329704285
P121,106W9,106W9 trip,2025-08-01 23:43:00,132.2427978515625
